date,value,milestone,color
Jan,54,Meet,0
Feb,59,Meet,0
Mar,72,Meet,0
Apr,62,Meet,0
May,58,Meet,0
Jun,92,Meet,0
Jul,53,Meet,0
Aug,60,Meet,0
Sep,73,Meet,0
Oct,57,Meet,0
Nov,41,Meet,0
Dec,34,Meet,0
Jan,46,Begin,1
Feb,58,Begin,1
Mar,58,Begin,1
Apr,59,Begin,1
May,58,Begin,1
Jun,75,Begin,1
Jul,58,Begin,1
Aug,58,Begin,1
Sep,65,Begin,1
Oct,49,Begin,1
Nov,55,Begin,1
Dec,44,Begin,1
Jan,43,Live,2
Feb,44,Live,2
Mar,46,Live,2
Apr,44,Live,2
May,58,Live,2
Jun,67,Live,2
Jul,53,Live,2
Aug,47,Live,2
Sep,57,Live,2
Oct,46,Live,2
Nov,49,Live,2
Dec,40,Live,2
Jan,21,Marry,3
Feb,41,Marry,3
Mar,35,Marry,3
Apr,39,Marry,3
May,49,Marry,3
Jun,44,Marry,3
Jul,43,Marry,3
Aug,48,Marry,3
Sep,53,Marry,3
Oct,39,Marry,3
Nov,29,Marry,3
Dec,38,Marry,3
Jan,9,Separate,4
Feb,10,Separate,4
Mar,11,Separate,4
Apr,11,Separate,4
May,12,Separate,4
Jun,17,Separate,4
Jul,13,Separate,4
Aug,5,Separate,4
Sep,12,Separate,4
Oct,5,Separate,4
Nov,8,Separate,4
Dec,9,Separate,4
