date,value,milestone,color
Jan,228,Meet,0
Feb,168,Meet,0
Mar,216,Meet,0
Apr,214,Meet,0
May,216,Meet,0
Jun,354,Meet,0
Jul,241,Meet,0
Aug,283,Meet,0
Sep,347,Meet,0
Oct,207,Meet,0
Nov,162,Meet,0
Dec,133,Meet,0
Jan,201,Begin,1
Feb,220,Begin,1
Mar,211,Begin,1
Apr,220,Begin,1
May,209,Begin,1
Jun,276,Begin,1
Jul,261,Begin,1
Aug,224,Begin,1
Sep,250,Begin,1
Oct,206,Begin,1
Nov,201,Begin,1
Dec,203,Begin,1
Jan,172,Live,2
Feb,162,Live,2
Mar,152,Live,2
Apr,173,Live,2
May,216,Live,2
Jun,313,Live,2
Jul,202,Live,2
Aug,251,Live,2
Sep,226,Live,2
Oct,182,Live,2
Nov,144,Live,2
Dec,163,Live,2
Jan,93,Marry,3
Feb,132,Marry,3
Mar,125,Marry,3
Apr,148,Marry,3
May,199,Marry,3
Jun,215,Marry,3
Jul,177,Marry,3
Aug,218,Marry,3
Sep,220,Marry,3
Oct,175,Marry,3
Nov,136,Marry,3
Dec,165,Marry,3
Jan,33,Separate,4
Feb,36,Separate,4
Mar,29,Separate,4
Apr,42,Separate,4
May,35,Separate,4
Jun,56,Separate,4
Jul,31,Separate,4
Aug,32,Separate,4
Sep,28,Separate,4
Oct,20,Separate,4
Nov,26,Separate,4
Dec,27,Separate,4
