date,value,milestone,color
Jan,45,Meet,0
Feb,28,Meet,0
Mar,37,Meet,0
Apr,31,Meet,0
May,33,Meet,0
Jun,50,Meet,0
Jul,35,Meet,0
Aug,42,Meet,0
Sep,48,Meet,0
Oct,34,Meet,0
Nov,28,Meet,0
Dec,19,Meet,0
Jan,34,Begin,1
Feb,43,Begin,1
Mar,31,Begin,1
Apr,36,Begin,1
May,39,Begin,1
Jun,41,Begin,1
Jul,38,Begin,1
Aug,37,Begin,1
Sep,40,Begin,1
Oct,20,Begin,1
Nov,30,Begin,1
Dec,34,Begin,1
Jan,23,Live,2
Feb,29,Live,2
Mar,25,Live,2
Apr,24,Live,2
May,29,Live,2
Jun,39,Live,2
Jul,19,Live,2
Aug,36,Live,2
Sep,36,Live,2
Oct,32,Live,2
Nov,22,Live,2
Dec,28,Live,2
Jan,17,Marry,3
Feb,17,Marry,3
Mar,23,Marry,3
Apr,19,Marry,3
May,24,Marry,3
Jun,23,Marry,3
Jul,20,Marry,3
Aug,23,Marry,3
Sep,31,Marry,3
Oct,25,Marry,3
Nov,18,Marry,3
Dec,23,Marry,3
Jan,7,Separate,4
Feb,5,Separate,4
Mar,8,Separate,4
Apr,10,Separate,4
May,5,Separate,4
Jun,13,Separate,4
Jul,8,Separate,4
Aug,3,Separate,4
Sep,5,Separate,4
Oct,3,Separate,4
Nov,3,Separate,4
Dec,2,Separate,4
