date,value,milestone,color
Jan,16,Meet,0
Feb,12,Meet,0
Mar,19,Meet,0
Apr,19,Meet,0
May,14,Meet,0
Jun,24,Meet,0
Jul,18,Meet,0
Aug,28,Meet,0
Sep,22,Meet,0
Oct,19,Meet,0
Nov,13,Meet,0
Dec,18,Meet,0
Jan,14,Begin,1
Feb,14,Begin,1
Mar,13,Begin,1
Apr,16,Begin,1
May,18,Begin,1
Jun,23,Begin,1
Jul,16,Begin,1
Aug,19,Begin,1
Sep,27,Begin,1
Oct,21,Begin,1
Nov,15,Begin,1
Dec,18,Begin,1
Jan,10,Live,2
Feb,11,Live,2
Mar,15,Live,2
Apr,11,Live,2
May,15,Live,2
Jun,17,Live,2
Jul,18,Live,2
Aug,16,Live,2
Sep,14,Live,2
Oct,20,Live,2
Nov,7,Live,2
Dec,9,Live,2
Jan,1,Marry,3
Feb,7,Marry,3
Mar,3,Marry,3
Apr,5,Marry,3
May,5,Marry,3
Jun,5,Marry,3
Jul,8,Marry,3
Aug,9,Marry,3
Sep,11,Marry,3
Oct,9,Marry,3
Nov,4,Marry,3
Dec,8,Marry,3
Jan,0,Separate,4
Feb,0,Separate,4
Mar,0,Separate,4
Apr,0,Separate,4
May,0,Separate,4
Jun,0,Separate,4
Jul,0,Separate,4
Aug,0,Separate,4
Sep,0,Separate,4
Oct,0,Separate,4
Nov,0,Separate,4
Dec,0,Separate,4
